CodGastronomia;NombrePlato;CodProvincia;;
111;Mote pillo;01;;
112;Mote sucio;01;;
113;Mote pata;01;;
114;Chiguil;02;;
115;Tortillas de tiesto;02;;
116;Cascaritas;03;;
117;Hornado pastuso;04;;
118;Cuy con papas;04;;
119;Chugchucaras;05;;
120;Hornado ;06;;
121;Ceviche de chocho;06;;
122;Tigrillo;07;;
123;Encocado de camarón;08;;
124;Encebollado;09;;
125;Cangrejo criollo;09;;
126;Fitada imbabureña;10;;
127;Repe lojano;11;;
128;Encanutado de bocachico;12;;
129;Bollo de pescado;12;;
130;Viche;13;;
131;Tonga;13;;
132;Ayampaco;14;;
133;Maito de filete de pescado;15;;
134;Masato;15;;
135;Maito de pescado;16;;
136;Ceviche de volquetero;16;;
137;Locro de papa;17;;
138;Llapingacho;18;;
139;Tortillas con chorizo;18;;
140;Caldo de coroncho;19;;
141;Ancas de rana;19;;
142;Langosta;20;;
143;Ceviche canchalagua;20;;
144;Casabe de yuca;21;;
145;Maito;21;;
146;Uchumanka;22;;
147;Maito de carachama;22;;
148;Parrillada;23;;
149;Pandado;23;;
150;Seco de chivo;24;;
151;Cazuela de mariscos;24;;
